ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Restaurant_name_length
292776,Mylapore,Chennai,Bread Boutique By Brew Room,300.0,4.3,100,"Bakery,Desserts",Mylapore,27
292874,Khokhra,Ahmedabad,Hotel Sher E Punjab,450.0,4.1,50,Indian,Maninagar,19
293055,Kalyani Nagar,Pune,The Calicut Biryani,500.0,3.1,20,"South Indian,Biryani",Kalyani Nagar,19
293465,Brindavan Colony,Hyderabad,Aaha Emi Ruchi,400.0,4.5,20,"Biryani,South Indian,North Indian",Santoshnagar & Saidabad,14
293506,Topsia,Kolkata,Sandwich Bites,400.0,2.9,80,North Indian,Topsia,14
293616,Gobra,Kolkata,Daily Bhoj,200.0,4.0,100,"Bengali,Thalis,Indian,Combo",Tangra,10
293750,East Kolkata Township,Kolkata,R.D	Food Corner,200.0,3.8,20,North Indian  Chinese,Ruby Area,15
293760,Park Street Area,Kolkata,Soul	The Sky Lounge,200.0,4.2,20,"Asian,Continental,North Indian,Tandoor,Chinese,Thai,Pizzas,Beverages,Snacks",Central Kolkata,19
293868,T. Nagar,Chennai,That Mallu Joint,250.0,4.3,100,"South Indian,Kerala",T Nagar,16
293933,Alwarpet,Chennai,Tossed By Koox - Gourmet Diy Box Kits,350.0,2.9,80,"Pizzas,Pastas,Asian,Desserts,Snacks,Beverages",City Centre,37
294001,Antop Hill,Mumbai,Raj  Palace  Restaurant,300.0,2.9,80,Indian,Matunga Wadala,23
294214,Kalighat,Kolkata,Marco Polo,1000.0,4.3,100,"Indian,Continental",South Kolkata,10
294369,Shahpur,Ahmedabad,Punjabi De Paranthe,399.0,2.9,80,"Indian,Punjabi",Laldarwaja,19
294413,Vesu,Surat,Star Sea Food Centre 2,300.0,4.2,100,Indian,Katargam,22
294454,Powai Area,Mumbai,Itc Maratha - Gourmet Couch,1000.0,3.8,20,Japanese  Mughlai  Chinese  North Indian  Biryani  Pan-Asian  Sushi  Seafood  Kebabs  Desserts,Powai Area,27
294492,Tangra,Kolkata,Itc Royal Bengal - Gourmet Couch,1000.0,4.4,20,"Asian,Pan-Asian,Korean,Italian,Pizzas,Continental,Pastas,North Indian,Mughlai,Biryani,Grill,Seafood,Kebabs,Desserts",Banquet Gate Itc Sonar,32
294499,Vasanth Nagar,Bangalore,Itc Windsor - Gourmet Couch,2500.0,4.5,20,"North Indian,Mughlai,Biryani,Grill,Seafood,Kebabs,Desserts",Malleshwaram,27
294617,Usmanpura,Ahmedabad,Earthen Oven,1000.0,2.9,80,North Indian,Fortune Landmark Ahmedabad,12
294627,Saidabad,Hyderabad,Klip2Deal Homefood,200.0,2.9,80,Indian,Santoshnagar & Saidabad,18
294775,Ghatkopar West,Mumbai,Shiv Krupa,300.0,2.9,80,North Indian,Ghatkopar Vikhroli,10
295104,Baguihati,Kolkata,Cheesy Blast,250.0,2.9,80,"Fast Food,Indian,Mughlai,Pizzas",Kestopur Khal,12
295187,Kothrud,Pune,Swara Juice Bar,200.0,4.3,20,Juices,Kothrud,15
